experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,numSteps,excludedVolumeCutOff,waitingSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,distanceThreshold,iterationsNumber,a1-a2_ComebackRate,a1-a2_ComebackAmplitude,a1-a2_meanComebackTime,a1-a2_stdComebackTime,a1-a2_meanComebackTime_dx,a1-a2_TakeoffRate,a1-a2_TakeoffAmplitude,a1-a2_meanTakeoffTime,a1-a2_stdTakeoffTime,a1-a2_meanTakeoffTime_dx,a1-b1_ComebackRate,a1-b1_ComebackAmplitude,a1-b1_meanComebackTime,a1-b1_stdComebackTime,a1-b1_meanComebackTime_dx,a1-b1_TakeoffRate,a1-b1_TakeoffAmplitude,a1-b1_meanTakeoffTime,a1-b1_stdTakeoffTime,a1-b1_meanTakeoffTime_dx,a1-b2_ComebackRate,a1-b2_ComebackAmplitude,a1-b2_meanComebackTime,a1-b2_stdComebackTime,a1-b2_meanComebackTime_dx,a1-b2_TakeoffRate,a1-b2_TakeoffAmplitude,a1-b2_meanTakeoffTime,a1-b2_stdTakeoffTime,a1-b2_meanTakeoffTime_dx,a2-b1_ComebackRate,a2-b1_ComebackAmplitude,a2-b1_meanComebackTime,a2-b1_stdComebackTime,a2-b1_meanComebackTime_dx,a2-b1_TakeoffRate,a2-b1_TakeoffAmplitude,a2-b1_meanTakeoffTime,a2-b1_stdTakeoffTime,a2-b1_meanTakeoffTime_dx,a2-b2_ComebackRate,a2-b2_ComebackAmplitude,a2-b2_meanComebackTime,a2-b2_stdComebackTime,a2-b2_meanComebackTime_dx,a2-b2_TakeoffRate,a2-b2_TakeoffAmplitude,a2-b2_meanTakeoffTime,a2-b2_stdTakeoffTime,a2-b2_meanTakeoffTime_dx,b1-b2_ComebackRate,b1-b2_ComebackAmplitude,b1-b2_meanComebackTime,b1-b2_stdComebackTime,b1-b2_meanComebackTime_dx,b1-b2_TakeoffRate,b1-b2_TakeoffAmplitude,b1-b2_meanTakeoffTime,b1-b2_stdTakeoffTime,b1-b2_meanTakeoffTime_dx
3_2,100,3,0.2,20,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,800,2.49119475818492,3.3279861137277287,2.8717301658449124,8.58461452041782,0.35622720615953074,300.65806084063104,980.1862703849594,0.01684393063583815,0.01780813816589085,0.0006851819391330213,2.588193534501751,3.5390967038541,2.345284280936455,7.024773739399222,0.3560965906489923,237.09065465420818,578.3896117688138,0.017409167132476245,0.01855854257006131,0.0008599927073835335,2.68843183078728,3.5122582209315723,2.3972172949002224,7.248529039967251,0.33449350393506616,194.4721605108206,411.04952088345954,0.016636064030131827,0.01732376525215889,0.0007367516298735611,2.365942035354425,3.199433499267552,2.1239625080801554,6.996818799248608,0.3486675590764435,201.33420987984783,451.3707071321157,0.01657692307692308,0.018295111800895606,0.0008405343089026298,2.5365896366511,3.228166263828932,2.4974984765386963,7.437845178108223,0.3598727104983449,119.5874493835801,188.32434952590214,0.017941176470588238,0.02018727201870261,0.0008987870784191292,2.4956742913250256,3.45033688716815,2.328236763236763,7.542804967722949,0.3304128379794689,296.2986952421233,933.2185894057565,0.01706734867860188,0.01786116008558965,0.0007227726834748661
4_0,100,3,0.2,25,False,0.008,800,0.005,0.01,15000,0,250,0.05,3,2,0,0.05,800,2.1463644034933598,2.7616459840612353,2.6570703271906733,8.156246345484666,0.3100182333670967,244.40879234944236,619.8037244294967,0.01705701328150308,0.018584837002119582,0.0006556114248570613,2.473105668505565,3.3538915568719467,2.5390970350404314,7.811039330869936,0.3004200549038318,165.38116906676953,317.0995281829789,0.017095175148711172,0.01925467290822585,0.0006860531376140687,2.443642752220763,3.173959618818323,2.553319511130511,7.628260450388425,0.31236979993424197,171.11960255520665,337.8017231915943,0.016890380313199106,0.017997387454494716,0.0006811396330009938,2.2818030386213604,2.6711450767710847,2.8172691229475366,6.971924288114064,0.12229662167450078,192.7215740761925,409.7537297367228,0.016886493819716613,0.017895012256179545,0.0003044986279726714,2.4757854605767435,3.068274532950104,2.5102355341246287,7.341277986314282,0.277119953133985,295.90653116529813,940.8054223298346,0.016564299424184265,0.017393773897073462,0.0006097550486395992,2.2136974007772032,2.868699191217255,2.5188042704626334,7.430616384349932,0.27474370607942383,195.70593941908325,423.8112012007147,0.016967340590979783,0.018228987313180376,0.0006301270529930716
4_1,100,3,0.2,25,False,0.008,800,0.005,0.01,15000,0,250,0.05,12,2,0,0.05,800,2.4967311644099386,3.309833949847108,2.9009147047472017,8.297765980964707,0.31950933202160736,317.633972014291,1113.3642435212587,0.016829268292682928,0.01773943412060633,0.0006355393930322957,2.5319762170347966,3.396241706430503,2.3597902912621365,7.3089682173768,0.2823082228079428,188.13677224401115,397.03752554079784,0.01710969044414536,0.019519137181855516,0.0007017659385533575,2.8917465698018012,3.860352863051309,2.3843653690186537,7.51110472525554,0.29645812157644597,308.19366786932034,1021.7283235416836,0.017305663032008443,0.01861698454505701,0.0006843479643211674,2.228459669014115,2.8426098405793416,2.7920046164772727,8.129277151288699,0.30025598733046754,321.6662450572934,1132.8288209264288,0.017190476190476194,0.018383873123405805,0.0006315643232727411,2.2688503632018913,2.8459924671930845,2.408266843971631,7.573959348015412,0.31254279633553406,207.72158797818557,480.4315323478777,0.016353612167300382,0.017360318598954063,0.0006634923017225508,2.4177138747610867,3.2998997989186436,2.5375870552611657,7.904975808987671,0.3014325933290459,267.01065907726814,744.6829327799608,0.017537853851217908,0.018738904084007194,0.0006663560955837245
4_2,100,3,0.2,25,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,800,2.1459593827329444,2.7300452197595115,2.6882362288135595,8.192788019651463,0.301745752088769,266.18507090104254,723.8587178816315,0.01762787136294028,0.018768786310601946,0.000643799549264851,2.7910785837905214,3.6063351043728273,2.3218235572374644,6.835126403674171,0.2913735533985361,148.5826721166411,274.4499770017782,0.01625101378751014,0.017481488557904167,0.0006899822928590687,2.564588804964634,3.291392031129806,2.4104658385093165,7.138910150508392,0.28472750323826923,274.84508095488377,791.5164452389159,0.017523164647184605,0.018964046658873933,0.0007016867134811739,2.336890852078898,3.0233141538101793,2.4031561962134247,7.407894371600034,0.30118461987427764,240.50153392080728,598.6173653525631,0.01696190828402367,0.018339612167790273,0.0006912623047859411,2.5685267463062873,3.4160896007783244,2.59022512864494,7.766415803483178,0.3152190361038404,315.051056269778,1085.0768701762277,0.01707438934122872,0.018052867174721363,0.0006807060112335799,2.3710220019757178,3.192552621656161,2.669388308977035,8.41655591047201,0.33708367898290653,158.22891103789493,298.0417964245492,0.01695799216803133,0.018806797615555086,0.0006954966665375089
5_0,100,3,0.2,30,False,0.008,800,0.005,0.01,15000,0,250,0.05,3,2,0,0.05,800,2.5088048267181837,3.260285850287855,2.767087536609177,7.899559436352442,0.27930432599271526,188.5351386489975,398.9467862831399,0.016545505776275008,0.018102023729992124,0.0005955664182790055,2.419125033685133,3.0350024782871587,2.8947623666343354,8.348553874443414,0.2942235054269339,221.97936657670357,529.5560615243678,0.01709410112359551,0.018320749243513665,0.0006018306517105204,2.507196687834907,3.252205364503104,2.505276215679788,7.714042395581813,0.27499134117455876,207.98995939454574,469.87735181924654,0.017043365881677198,0.018531191797319067,0.0006155240676552615,2.221682407163283,2.5707332833219088,2.750448358998289,6.993759724553632,0.1208871303714671,185.35366601159905,380.39982888285476,0.016943160982764945,0.018068932405679514,0.00030329202686734394,2.332580779510082,3.001668782879942,2.6743874221299317,7.745744072331792,0.261480820115502,289.05459582228576,880.2491819094213,0.017246113989637307,0.01838756754819239,0.0005800784079411008,2.4571083513376246,3.295055244903589,2.5949859313449637,7.971462620207992,0.26208090126260336,302.9408377027817,996.7347896282513,0.016964021685559393,0.017933854886793433,0.0005517898421352727
5_1,100,3,0.2,30,False,0.008,800,0.005,0.01,15000,0,250,0.05,12,2,0,0.05,800,2.494068460356733,3.26678915440732,2.617128728923476,7.660981234751431,0.27038542983292585,206.54789222154096,456.919773563697,0.01748727375565611,0.018625335395253725,0.000613909063572743,2.590141511168184,3.556591634626609,2.4801329043088978,7.451346288895146,0.24429441831822604,311.72771812306263,1059.4191618865682,0.016972579051383403,0.018093916417754444,0.0005574018416253587,2.372558363712439,3.1154427657291186,2.5542846650998823,7.77492286949926,0.26119050494401674,251.80650982467748,643.083869200743,0.017173071962857882,0.01793985070047281,0.000564711972414976,2.4828724402781295,3.0273848484099144,2.773365231259968,8.044915984938822,0.2816169637167409,169.39980716324567,326.87003052416605,0.017083333333333336,0.018327719640238518,0.0005967197465311877,2.426089854777117,3.182997612378634,2.5395546357615895,7.479524058458177,0.2667635961330052,262.64980306000825,722.9209823253544,0.01668062373664453,0.017708526359340077,0.0005898101578892985,2.416528113756292,2.9645538540098726,2.8721759419287936,8.295467771231143,0.30228927215412155,319.0152582326689,1133.2757626365633,0.016939809296781884,0.017861470654250255,0.0006043135186956518
5_2,100,3,0.2,30,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,800,2.7721708468329083,3.688841124771607,2.675171436667611,7.605215413092223,0.2509237456767604,212.6298986111631,495.3375146965275,0.016851435705368293,0.01818545469895965,0.0005632211766183877,2.5660781608063536,3.3681662102850387,2.5212922465208747,7.552231468413681,0.2694460031440132,276.99827236060753,810.4461875404351,0.01693562355658199,0.018434286918551333,0.000613894118276266,2.7317705404483252,3.4750382272401654,2.5422080471050053,7.472825902526702,0.2649068670421021,308.6856289604979,1045.2340829653829,0.01697522073483338,0.018266335897379683,0.0006042158257169683,2.5355799996815622,3.2707058308562478,2.580724857046754,7.5086536467773675,0.26991106495973677,247.00934192616256,633.1182330926243,0.01681189284662938,0.018329345598690712,0.0006163895365783917,2.2721072039890786,2.9601120787627395,2.471034022681788,7.187474342432488,0.2572862425301625,198.78933095134582,434.6379918150523,0.01731890331890332,0.019094151260569407,0.0006357769967718473,2.1969109405941336,2.7969777742577793,2.765550324675325,8.17460299270714,0.28870039828868926,140.19952831570342,241.37193989920058,0.017191567628749297,0.0185823341747733,0.0006126649912608649
6_0,100,3,0.2,35,False,0.008,800,0.005,0.01,15000,0,250,0.05,3,2,0,0.05,800,2.37500534810894,3.120841959614725,2.6085011648977483,7.951896617578519,0.25076356907941105,215.81043361136216,503.65254340051007,0.017032854209445586,0.017806263840013915,0.000527160838585291,2.5440657128888575,3.3061428652893765,2.8258575380359607,8.002986715838997,0.2608879478127681,315.42972517895595,1100.976974483042,0.016776729559748432,0.017557528094453666,0.0005352223089278082,2.4316315410556775,3.10859270175701,2.686531638083974,7.59828593287432,0.25608544906674957,200.04559741310396,434.49160660801124,0.01715488215488216,0.017870084131922672,0.0005636801841304326,2.1391661609382946,2.472441298741454,2.7007442690147263,6.856008545429288,0.11707619303141369,263.2124191379166,725.4042284373271,0.016966895958727433,0.01800977948792165,0.0002988023345504339,2.4640664664517704,3.1695219956958387,2.8635200306200566,8.156799070771163,0.25538077697110895,216.15231193581326,509.0272756652941,0.016580965268380692,0.017547329087699067,0.0005164987181372425,2.3683865781277973,3.1314000416307626,2.805463892874223,8.165384931723992,0.2474803491937168,199.95581157065874,438.05047944800225,0.01660903691132796,0.01753940018869292,0.0005006981878358655
6_1,100,3,0.2,35,False,0.008,800,0.005,0.01,15000,0,250,0.05,12,2,0,0.05,800,2.2857605399897545,2.946280165424897,2.7394098798397866,8.147683087345236,0.2609541985195554,176.09776882431734,351.878499979032,0.017262491203377903,0.018517056141061593,0.0005558663039195644,2.548271226034636,3.3119796320989554,2.669098748261474,7.728914358248981,0.2526533837386211,-1,-1,0.016536955457660305,0.017197479010559163,0.0005273168854303048,2.8895895767138993,3.5947793497575127,2.582219882055602,7.17315568952381,0.23560274255439456,214.95086348701358,506.64924023093516,0.01664166256763404,0.01773040234538762,0.0005449930639441715,2.2370105468922086,2.8706758979410405,2.548486788341051,7.5041033643563635,0.24275192731678802,274.5420481883803,795.7964065359571,0.016757112120487687,0.01769725229191863,0.0005363125765428319,2.2711323482023342,2.905565138921013,2.630433197199533,7.437602580246322,0.2489823910886082,168.15621354135735,326.6366343331707,0.01672457843638222,0.018096425253009696,0.0005669417683772668,2.252626962413859,2.911623142458081,2.9372876949740037,8.468638055300609,0.2821019650530587,260.18576214719087,711.8200657802188,0.01694123556002009,0.018208253472135543,0.0005655535514974404
6_2,100,3,0.2,35,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,800,2.37067543542419,3.098668915165848,2.691750271149675,7.988862309982772,0.2578371851194404,222.2975325151524,532.8809080758948,0.017139628924833495,0.018568725931946896,0.0005613152273476565,2.44230718267925,3.127861437633226,2.8918662587412594,7.9744136148352585,0.26679715217236843,211.79294743597103,492.5647500121458,0.017124776272053187,0.018923962757527394,0.0005930949798846204,2.657590923916376,3.3146535265885393,2.6275248392752775,7.596257274909315,0.2545163779003243,262.11116205937077,719.1959751119766,0.016974254397145044,0.018357791637733996,0.0005744699996004064,2.7072852120373465,3.4162770608844806,2.5319154087154656,7.19096713646347,0.23786358525713616,225.63583974105782,553.2676009143198,0.01654830614805521,0.017341842777877505,0.0005384397985030315,2.526997523922825,3.0992615523243643,2.589542387797008,7.299371534449018,0.24503495392069663,237.56833376016692,584.3498081764471,0.01697940797940798,0.018363401242243147,0.0005774490663468157,2.4517641105493952,3.162771941671167,2.745831935123043,8.06772903286674,0.26442871809974045,190.99049108229724,399.9789401639996,0.016874233880853153,0.017571668690508083,0.0005392525715997157
7_0,100,3,0.2,40,False,0.008,800,0.005,0.01,15000,0,250,0.05,3,2,0,0.05,800,2.562439529850757,3.335916777863855,2.78205501618123,7.891893843531158,0.23517656815937843,181.69835010927133,375.4029238988091,0.016731125282863607,0.01828738997566165,0.0005140969023512196,2.331034276220709,3.0149134243964273,2.9414652014652014,8.26136046506138,0.24500013772707774,283.88317527883885,845.2311374152769,0.017028455284552848,0.017765443392008744,0.0004964203439075003,2.1641508478304794,2.7269697941150826,2.858684338521401,8.271444567988784,0.25281968272757177,260.71619612651705,700.4982060131306,0.01709006679594915,0.018478988994989502,0.0005316532755910911,2.342655498415215,2.744840694872976,2.706544571600663,6.799339463421655,0.11563546674157699,141.29258915622873,247.39611214910374,0.016759792421980522,0.017875865053293492,0.0002954080970980449,2.445143747521386,3.0772985608379044,2.6710778859527124,7.6483683735743915,0.22823634189782463,192.75865759781735,405.93793632160975,0.017166838311019568,0.018409490572658834,0.0005178490991796132,2.302725387082894,2.8862458466825895,2.8246425049309667,7.845971017880461,0.24146478230593377,281.6146211431387,830.8352795768529,0.01713055797733217,0.018209097406850883,0.0005269055654631045
7_1,100,3,0.2,40,False,0.008,800,0.005,0.01,15000,0,250,0.05,12,2,0,0.05,800,2.3912426284515043,3.0925370252544635,2.711283545974483,7.790052928822497,0.2264549217931907,222.05012170273787,530.1931308243921,0.017152532391048296,0.0189082802730499,0.0005192525430369393,2.534443278143538,3.199538588617294,2.7858708343468743,7.784119085193715,0.23795333957784667,272.94482097350016,878.3242077074656,0.01707026214009454,0.018079695275022907,0.0005194383235919825,2.408615534549542,3.0898432051617344,2.852093945218645,8.082018975027367,0.24554149692982755,244.4990774725626,613.4652454369642,0.017485125371865702,0.018820463058707215,0.0005377252306733964,2.3698313693537534,3.069544319481038,2.8199488883209813,7.889207377563304,0.24719206160347237,262.02538261444704,711.5505865025066,0.017164971751412433,0.018781584745813484,0.0005533904600925375,2.3689103806493916,3.0722112371171124,2.741527149321267,8.034448714172344,0.2368650692546864,197.1699905159928,429.6828649763764,0.01674187725631769,0.018139754716341938,0.000503513761305599,2.3003665737214507,2.9137440314296543,2.7679234285714287,8.062193537165195,0.23890226215532634,201.50805409609626,441.8395341745607,0.016979633401221998,0.01823504584065024,0.0005100610783256662
7_2,100,3,0.2,40,False,0.008,800,0.005,0.01,15000,0,250,0.05,30,2,0,0.05,800,2.3576973794889233,2.9254499336952215,2.925836088804913,8.142027478729997,0.24525236739567494,261.8369597388993,719.4074297562996,0.016575916230366493,0.017342356406532606,0.0004919007567145354,2.6735261416909735,3.4317885206024425,2.598416879795397,7.1707117941244425,0.22476566022741623,270.35149047147155,760.5459172040735,0.017244023455119533,0.01829919711175734,0.0005386296571931875,2.747532935589486,3.427577636006374,2.6894616151545367,7.520006281635983,0.23269862257383028,126.9388710439282,207.7798857918939,0.017152149944873206,0.018543105219084807,0.0005396968562478109,2.4971647157871653,3.1736103315583932,2.8995588235294116,8.095344147754357,0.25374822254452767,247.5097562185778,629.379261493346,0.0173486901535682,0.018956063534291606,0.0005583421581354468,2.355087952088754,2.9326443138746643,3.0353090809628007,8.264001102577174,0.26788188377423233,302.56031101615923,988.6915752105342,0.017083832335329344,0.018196338768956877,0.0005519653877100335,2.2479849738390194,2.8235367490664873,2.9236391778107977,8.31217486968426,0.2563820319989578,169.27015382837746,337.17016997574336,0.016227897838899805,0.01780750398385316,0.0005156784415153539
